signature;file_name;formID;editorID;text_content;content_source;name;topic;quest;topLevelPath;additional_content;speaker
NOTE;FalloutNV.esm;00177875;vYesManBunkerNote;"Have I told you lately that you�re my favorite person? You are!

The reason I gave you this print-out is I wanted to remind you about that bunker Mr. House built over at Fortification Hill. I was going to say something out loud, but then I felt self-conscious, because I feel really ANNOYING when I repeat myself! 

Just to clarify - anytime YOU want to repeat yourself, go right ahead! It�s only a problem when I do it!

Anyway, now that you�ve installed me on the Lucky 38�s mainframe, I can peek into Mr. House�s data. And guess what? The underground facility over at the Fort is super-important!

What Mr. House did over there was stash a HUGE number of Securitrons. Hundreds of them! 

Imagine how powerful they�d be if you upgraded them with the Mark II OS! 

When the Legion attacks Hoover Dam, you could sic your army on them! And who deserves to have an army more than you? No one!

Plus an army of upgraded Securitrons would be just the thing to show the NCR that you mean business! Go away and stay away, NCR!

The thing is - and I really HATE admitting this - I can�t upgrade the Securitrons over at the Fort from here in the Lucky 38... I can�t establish a reliable connection, and I�m sure it�s all my fault somehow. 

But if you took the Platinum Chip to the Fort, you could perform the upgrade yourself. Just a suggestion!

Love, 

Yes Man
";TNAM - Text / Topic;About that Bunker at Fortification Hill...;Text;; \ [00] FalloutNV.esm \ [44] Note \ [0] vYesManBunkerNote [NOTE:00177875];;
NOTE;FalloutNV.esm;00175AB0;RecipesCookCooksFiendStewNote;This recipe allows you to make Cook-Cook's Fiend Stew.;TNAM - Text / Topic;Recipes - Cook-Cook's Fiend Stew;Text;; \ [00] FalloutNV.esm \ [44] Note \ [1] RecipesCookCooksFiendStewNote [NOTE:00175AB0];;
NOTE;FalloutNV.esm;00175AAB;RecipesBrahminWellingtonNote;This recipe allows you to make Brahmin Wellington.;TNAM - Text / Topic;Recipes - Brahmin Wellington;Text;; \ [00] FalloutNV.esm \ [44] Note \ [2] RecipesBrahminWellingtonNote [NOTE:00175AAB];;
NOTE;FalloutNV.esm;0016A22B;V03TrentEmail;"From: Trent Meyer
To: Vincent Vanmiller

Hey Vincent,
I've been going over our inventory of replacements parts and noticed that we've only got one reverse pulse cleaner. I know these things are supposed to last forever, but I'm a little nervous working with just one spare. Can you try to see that the air filters get a little extra love during routine maintenance, if only to calm an old man's nerves?

Sincerely,
Trent";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [3] V03TrentEmail [NOTE:0016A22B];;
NOTE;FalloutNV.esm;00167F34;VCassWhiskeyChallenge;Cass wants you to supply a dozen bottles of whiskey for her Whiskey Challenge, after which she'll try to drink you under the table.;TNAM - Text / Topic;Cass's Whiskey Challenge;Text;; \ [00] FalloutNV.esm \ [44] Note \ [4] VCassWhiskeyChallenge [NOTE:00167F34];;
NOTE;FalloutNV.esm;0016774E;HVTorresNote;Knight Torres in Hidden Valley wants me to find a laser pistol that's gone missing. The first thing to do is speak with the paladin in charge of the firing range to see if he remembers who was using it.;TNAM - Text / Topic;Missing Laser Pistol;Text;; \ [00] FalloutNV.esm \ [44] Note \ [5] HVTorresNote [NOTE:0016774E];;
NOTE;FalloutNV.esm;0016768F;VES02GeckomanNote;"Remember to not roll off the cliff and kill yourself while you're sleeping. You'll show her... you'll show everyone! What does ""too stupid to live"" even mean anyway?";TNAM - Text / Topic;Note to Self;Text;; \ [00] FalloutNV.esm \ [44] Note \ [6] VES02GeckomanNote [NOTE:0016768F];;
NOTE;FalloutNV.esm;00167153;vL38PreWarNote03;;;Note 3;Text;; \ [00] FalloutNV.esm \ [44] Note \ [7] vL38PreWarNote03 [NOTE:00167153];;
NOTE;FalloutNV.esm;00167152;vL38PreWarNote02;;;Note 2;Text;; \ [00] FalloutNV.esm \ [44] Note \ [8] vL38PreWarNote02 [NOTE:00167152];;
NOTE;FalloutNV.esm;00167151;vL38PreWarNote01;;;Note 1;Text;; \ [00] FalloutNV.esm \ [44] Note \ [9] vL38PreWarNote01 [NOTE:00167151];;
NOTE;FalloutNV.esm;00166D9B;CampSearchlightAstorLog;"First Sergeant Astor's Log

Everything is upside down now, all of my superiors are gone and there's no one left but myself and a handful of soldiers. I've been following a strict patrol schedule since the incident, making sure to cover the roads leading into Camp Searchlight. I like to keep myself moving in order to catch any wayward travelers who may not know the dangers that now lurk within the town. I don't think I could forgive myself if someone got past me and went into that hell hole of a place.  So far I've been able to maintain enough energy that I'm never away from any point on my patrol for long. I wonder how long before I can't keep going anymore?";TNAM - Text / Topic;First Sergeant Astor's Log;Text;; \ [00] FalloutNV.esm \ [44] Note \ [10] CampSearchlightAstorLog [NOTE:00166D9B];;
NOTE;FalloutNV.esm;00166B6A;HVRamosJournal01;Still no word from the missing patrols. I was beginning to get my hopes up that the Elder was close to ending the lockdown when they were sent out, but now...;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [11] HVRamosJournal01 [NOTE:00166B6A];;
NOTE;FalloutNV.esm;00166B69;VHDInventoryNote03;Remember those suits I told you about? Gone. Some jackass ordered a complete reorganization of our storage system and now I can't find anything. Wonderful. I guess they'll turn up sooner or later.;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [12] VHDInventoryNote03 [NOTE:00166B69];;
NOTE;FalloutNV.esm;00166B68;VHDInventoryNote02;Johnson, I've come across a crate with a couple of suits made of a material I don't even recognize. Do you know what the hell this is? Looks like pre-war tech to me. The eggheads we have down here are mostly glorified mechanics, so they just scratched their heads when I showed it to them.;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [13] VHDInventoryNote02 [NOTE:00166B68];;
NOTE;FalloutNV.esm;00166B67;VHDInventoryNote01;"We've begun to take stock of what's left here, but my first impression is ""not much."" The equipment here is in terrible condition, and will require extensive repairs to get even minimal power production started. Looks like we've got our work cut out for us, boys.";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [14] VHDInventoryNote01 [NOTE:00166B67];;
NOTE;FalloutNV.esm;00166B66;HVBunkerSystemsOverview;"The Hidden Valley Bunker relies on two main systems:

The CANDLE Fusion Power system provides power to all bunker systems. Built more for reliability and duration of service, the power output of the system has been exceeded by many current designs, but it can supply the bunker with power for an estimated 752 years.

The DERVISH Camouflage system provides visual and electronic interference to prevent airborne or long-range enemy weapons from targeting the bunker. The normal soil around Hidden Valley has been supplemented with a combination of aluminum and various silicates, which are then dispersed using a widespread network of industrial fans to blanket the area in a cloud of what is essentially chaff. Combined with the electronic countermeasures of the nearby array at Black Mountain, the bunker at Hidden Valley is effectively impossible to target.";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [15] HVBunkerSystemsOverview [NOTE:00166B66];;
NOTE;FalloutNV.esm;00166B65;HVBunkerGoalNote;The goal of the Hidden Valley project is to create a self-sustaining shelter for high-ranking VIPs that can serve as a command structure in times of crisis. The bunker itself is located several hundred feet below the surface. Multiple layers of reinforced materials serve to prevent a breach of the inhabitable areas by anything save for a direct hit by a bunker-busting weapon utilizing a megatonnage considered outside the capability of America's closest competitors. In the event that our enemies become capable of such an attack, the bunker's DERVISH camouflaging system makes targeting the site impossible for automated systems, forcing aggressors to rely on guesswork and sheer luck.;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [16] HVBunkerGoalNote [NOTE:00166B65];;
