gem_id,meaning_representation,target,references
viggo-challenge_train_10_percent-0,"confirm(name[Diablo II], has_multiplayer[yes])",Are you talking about the Diablo II that has multiplayer?,['Are you talking about the Diablo II that has multiplayer?']
viggo-challenge_train_10_percent-1,"confirm(name[Ancient Cities], developer[Uncasual Games], player_perspective[bird view])",Do you mean Ancient Cities from Uncasual Games? The one with a bird view?,['Do you mean Ancient Cities from Uncasual Games? The one with a bird view?']
viggo-challenge_train_10_percent-2,"confirm(name[Anthem], developer[BioWare], platforms[PlayStation])",Is that Anthem developed by BioWare that you can play on PlayStation?,['Is that Anthem developed by BioWare that you can play on PlayStation?']
viggo-challenge_train_10_percent-3,"confirm(name[The Elder Scrolls Online], genres[MMORPG], platforms[PC])",Is The Elder Scrolls Online you just mentioned the PC MMORPG?,['Is The Elder Scrolls Online you just mentioned the PC MMORPG?']
viggo-challenge_train_10_percent-4,"confirm(name[Superhot], release_year[2016], platforms[PlayStation])","Would that be Superhot, the 2016 game released on PlayStation?","['Would that be Superhot, the 2016 game released on PlayStation?']"
viggo-challenge_train_10_percent-5,"confirm(name[BioShock], platforms[PC], available_on_steam[yes])",Is the BioShock you're talking about the one for the PC that you can get on Steam?,"[""Is the BioShock you're talking about the one for the PC that you can get on Steam?""]"
viggo-challenge_train_10_percent-6,"confirm(name[NBA 2K19], exp_release_date[September 11, 2018])","Are you talking about NBA 2K19 that's coming out September 11, 2018?","[""Are you talking about NBA 2K19 that's coming out September 11, 2018?""]"
viggo-challenge_train_10_percent-7,"confirm(name[The Crew 2], exp_release_date[June 29, 2018], genres[driving/racing])","The Crew 2, the driving/racing game expected to be released June 29, 2018?","['The Crew 2, the driving/racing game expected to be released June 29, 2018?']"
viggo-challenge_train_10_percent-8,"confirm(name[Layers of Fear], player_perspective[first person], platforms[PlayStation])","Layers of Fear, the first person PlayStation game?","['Layers of Fear, the first person PlayStation game?']"
viggo-challenge_train_10_percent-9,"confirm(name[BioShock], platforms[PC], available_on_steam[yes])","Are you talking about BioShock, the PC game you can buy on Steam?","['Are you talking about BioShock, the PC game you can buy on Steam?']"
viggo-challenge_train_10_percent-10,"confirm(name[Tomb Raider: The Angel of Darkness], player_perspective[third person], platforms[PC])",Do you mean Tomb Raider: The Angel of Darkness with a third person perspective that you can play on PC?,['Do you mean Tomb Raider: The Angel of Darkness with a third person perspective that you can play on PC?']
viggo-challenge_train_10_percent-11,"confirm(name[Mafia], release_year[2002], developer[Illusion Softworks])","Is that Mafia, the title from Illusion Softworks released in 2002?","['Is that Mafia, the title from Illusion Softworks released in 2002?']"
viggo-challenge_train_10_percent-12,"confirm(name[Ori and the Blind Forest], has_multiplayer[no])",Is it the Ori and the Blind Forest that you're talking about the one that doesn't have any multiplayer?,"[""Is it the Ori and the Blind Forest that you're talking about the one that doesn't have any multiplayer?""]"
viggo-challenge_train_10_percent-13,"confirm(name[Worms: Reloaded], release_year[2010], platforms[PC])",I presume you're talking about the 2010 PC game Worms: Reloaded?,"[""I presume you're talking about the 2010 PC game Worms: Reloaded?""]"
viggo-challenge_train_10_percent-14,"confirm(name[Grand Theft Auto V], esrb[M (for Mature)])","This is the Grand Theft Auto V that's got an M rating, correct?","[""This is the Grand Theft Auto V that's got an M rating, correct?""]"
viggo-challenge_train_10_percent-15,"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], player_perspective[bird view], platforms[PC])","Do you mean Heroes of Might and Magic III: The Restoration of Erathia with a bird's eye view, for PC?","[""Do you mean Heroes of Might and Magic III: The Restoration of Erathia with a bird's eye view, for PC?""]"
viggo-challenge_train_10_percent-16,"confirm(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], available_on_steam[yes])",Is the Might & Magic: Heroes VI you just mentioned the one developed by Black Hole Entertainment and available on Steam?,['Is the Might & Magic: Heroes VI you just mentioned the one developed by Black Hole Entertainment and available on Steam?']
viggo-challenge_train_10_percent-17,"confirm(name[Tony Hawk's Pro Skater 3], player_perspective[third person], platforms[PC])","By Tony Hawk's Pro Skater 3, do you mean the PC game with the third person perspective?","[""By Tony Hawk's Pro Skater 3, do you mean the PC game with the third person perspective?""]"
viggo-challenge_train_10_percent-18,"confirm(name[The Crew 2], exp_release_date[June 29, 2018], genres[driving/racing])","Are you referring to The Crew 2, the upcoming driving/racing title releasing June 29, 2018?","['Are you referring to The Crew 2, the upcoming driving/racing title releasing June 29, 2018?']"
viggo-challenge_train_10_percent-19,"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], has_mac_release[yes])","The E rated game on Mac, Heroes of Might and Magic III: The Restoration of Erathia?","['The E rated game on Mac, Heroes of Might and Magic III: The Restoration of Erathia?']"
viggo-challenge_train_10_percent-20,"confirm(name[The Crew 2], developer[Ivory Tower], platforms[PlayStation])",By The Crew 2 are you talking about the PlayStation game created by Ivory Tower?,['By The Crew 2 are you talking about the PlayStation game created by Ivory Tower?']
