Utterance,Emotion,File_Name,Multi_Model_Predictions
Why?,neutral,dia124_utt10.mp4,"{""video"": [0.9485, 0.0, 0.0, 0.0, 0.0515, 0.0, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0042, 0.0001, 0.0, 0.0381, 0.9558, 0.0018, 0.0001]}"
"Hey, you guys! Look what I found in the giiiiiiift shop.  Get up! Get up! Get up!",happy,dia124_utt11.mp4,"{""video"": [0.1207, 0.0, 0.0115, 0.0575, 0.4023, 0.3966, 0.0115], ""audio"": [0.3333, 0.6667, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0058, 0.0003, 0.0466, 0.0561, 0.8831, 0.0028, 0.0053]}"
"I left a bra drying on the shower rod, you dont think your son will think its yours and be horribly traumatised?",happy,dia125_utt0.mp4,"{""video"": [0.0571, 0.0, 0.0, 0.8429, 0.1, 0.0, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0001, 0.0001, 0.0001, 0.01, 0.9887, 0.0004, 0.0005]}"
"Hey, if mommy can have a wife, daddy can have a bra.",neutral,dia125_utt1.mp4,"{""video"": [0.449, 0.0, 0.0, 0.0, 0.5102, 0.0408, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0002, 0.0, 0.0, 0.0229, 0.9764, 0.0003, 0.0001]}"
"Mornings here! Sunshine is here! The sky is clear, the mornings here! The mornings here!",happy,dia126_utt0.mp4,"{""video"": [0.4272, 0.0, 0.0874, 0.1748, 0.0971, 0.2136, 0.0], ""audio"": [0.3333, 0.6667, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0021, 0.0003, 0.007, 0.9663, 0.0162, 0.0077, 0.0005]}"
HEY!! Do you,angry,dia126_utt1.mp4,"{""video"": [0.0, 0.0, 0.1231, 0.2308, 0.4923, 0.1077, 0.0462], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0002, 0.0, 0.0, 0.0011, 0.996, 0.0005, 0.0021]}"
Oh come on! Mornings here!  Mornings here! The morning is here! Sunshine is here!,happy,dia126_utt2.mp4,"{""video"": [0.0746, 0.0, 0.0, 0.2388, 0.5224, 0.1642, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0007, 0.0002, 0.0024, 0.9793, 0.0168, 0.0006, 0.0001]}"
I,neutral,dia126_utt3.mp4,"{""video"": [0.3559, 0.0, 0.0169, 0.0, 0.3729, 0.2542, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0004, 0.0, 0.0, 0.0016, 0.9973, 0.0006, 0.0001]}"
Are you kidding? I love that guy!  Mornings here! Morning is here,happy,dia126_utt4.mp4,"{""video"": [0.0659, 0.0, 0.018, 0.6048, 0.0359, 0.2695, 0.006], ""audio"": [0.6667, 0.0, 0.3333, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0038, 0.0003, 0.0009, 0.1418, 0.8439, 0.0078, 0.0015]}"
Stop it! I will kill you. I hate the fact that my room is so small.,angry,dia126_utt5.mp4,"{""video"": [0.3263, 0.0, 0.0421, 0.0105, 0.0632, 0.5579, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.6399, 0.0497, 0.0097, 0.0045, 0.013, 0.0119, 0.2713]}"
"Monica, you dont even have a bed, you sleep in a ball on the floor!",angry,dia126_utt7.mp4,"{""video"": [0.1111, 0.0, 0.0444, 0.0111, 0.0, 0.7889, 0.0444], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0029, 0.0002, 0.0004, 0.0016, 0.9852, 0.0096, 0.0]}"
"All right buddy, time to roll over.",neutral,dia127_utt0.mp4,"{""video"": [0.0909, 0.0, 0.0, 0.0, 0.1818, 0.7273, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0008, 0.0001, 0.0005, 0.0649, 0.9326, 0.001, 0.0002]}"
You are going to a clinic!,disgust,dia127_utt3.mp4,"{""video"": [0.7739, 0.0, 0.0, 0.0783, 0.1217, 0.0174, 0.0087], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0005, 0.0, 0.0, 0.0007, 0.998, 0.0004, 0.0004]}"
"Youre going to a clinic, and a pyjama store!",disgust,dia127_utt4.mp4,"{""video"": [0.5938, 0.0, 0.0, 0.125, 0.2344, 0.0469, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0051, 0.0002, 0.0021, 0.0113, 0.9761, 0.005, 0.0001]}"
"Great, lets begin.  Hows the pressure?",happy,dia128_utt2.mp4,"{""video"": [0.0078, 0.0, 0.0, 0.2442, 0.2868, 0.4612, 0.0], ""audio"": [0.4, 0.0, 0.0, 0.0, 0.2, 0.4, 0.0], ""text"": [0.0004, 0.0001, 0.0001, 0.9606, 0.0375, 0.0008, 0.0006]}"
Nice! Wow Phoebe you are good!,happy,dia128_utt3.mp4,"{""video"": [0.0649, 0.0, 0.0, 0.5065, 0.026, 0.4026, 0.0], ""audio"": [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0002, 0.0001, 0.0001, 0.9981, 0.0011, 0.0003, 0.0002]}"
"Stating the obvious, but thank you. And its not weird is it.",happy,dia128_utt4.mp4,"{""video"": [0.0076, 0.0, 0.0, 0.8779, 0.0534, 0.0611, 0.0], ""audio"": [0.6667, 0.3333, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0015, 0.0002, 0.0, 0.997, 0.001, 0.0003, 0.0]}"
"Thats right, you just enjoy.",neutral,dia128_utt6.mp4,"{""video"": [0.027, 0.0, 0.0, 0.9459, 0.0, 0.027, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.001, 0.0004, 0.0001, 0.9958, 0.0023, 0.0003, 0.0001]}"
Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah!,happy,dia128_utt7.mp4,"{""video"": [0.0035, 0.0, 0.0, 0.9046, 0.0, 0.0919, 0.0], ""audio"": [0.8, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0006, 0.0002, 0.0005, 0.2447, 0.0059, 0.0009, 0.7472]}"
Oh God Phoebe!!  Oh thats it! Thats it! Right there! Oh!  Ooooh-oooh-ooooh,happy,dia128_utt9.mp4,"{""video"": [0.25, 0.0, 0.0, 0.0147, 0.1176, 0.6176, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0232, 0.0101, 0.0003, 0.0025, 0.0503, 0.9091, 0.0046]}"
Become a drama critic!,happy,dia129_utt0.mp4,"{""video"": [0.1286, 0.0, 0.0, 0.0143, 0.1, 0.7571, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0062, 0.007, 0.0014, 0.0025, 0.9783, 0.0045, 0.0001]}"
I am hurt!  A plague on both your houses!,sad,dia129_utt1.mp4,"{""video"": [0.0429, 0.0, 0.0, 0.4429, 0.0429, 0.4714, 0.0], ""audio"": [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0011, 0.0001, 0.0, 0.0008, 0.9966, 0.0014, 0.0]}"
"By the way, he dumped me tonight after he read my review.",sad,dia129_utt2.mp4,"{""video"": [0.0, 0.0, 0.0, 0.0, 0.2879, 0.7121, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0002, 0.0001, 0.0, 0.9839, 0.0128, 0.0005, 0.0025]}"
"Yep! I sure know how to pick em, huh? Y'know I gave up a part on a soap for this!",sad,dia129_utt4.mp4,"{""video"": [0.025, 0.0, 0.0, 0.475, 0.475, 0.025, 0.0], ""audio"": [0.3333, 0.6667, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0007, 0.0001, 0.0005, 0.886, 0.1096, 0.0026, 0.0006]}"
"Wow! Yeah I ah, I gave up a job too.",angry,dia129_utt5.mp4,"{""video"": [0.0, 0.0, 0.0, 0.4444, 0.037, 0.4444, 0.0741], ""audio"": [0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0], ""text"": [0.0041, 0.0006, 0.0166, 0.1772, 0.5703, 0.1516, 0.0795]}"
"Uh, de-clawing cats.",angry,dia129_utt7.mp4,"{""video"": [0.8571, 0.0, 0.0, 0.0, 0.0, 0.1429, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0004, 0.0001, 0.0004, 0.9593, 0.039, 0.0007, 0.0002]}"
Well stop by every news stand and burn every copy of their Times and the Post.,angry,dia129_utt10.mp4,"{""video"": [0.5743, 0.0, 0.0, 0.0594, 0.2772, 0.0891, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.1129, 0.0005, 0.0002, 0.0133, 0.8667, 0.0064, 0.0]}"
"Oh, you didnt see the Post?",surprise,dia129_utt12.mp4,"{""video"": [0.1554, 0.0, 0.0311, 0.0881, 0.1399, 0.5855, 0.0], ""audio"": [0.0, 0.6667, 0.0, 0.3333, 0.0, 0.0, 0.0], ""text"": [0.0075, 0.0008, 0.0001, 0.9372, 0.0134, 0.0408, 0.0001]}"
Hi Joey! What are you doing here?,happy,dia130_utt0.mp4,"{""video"": [0.0181, 0.0, 0.0, 0.1131, 0.6561, 0.2127, 0.0], ""audio"": [0.0, 0.5, 0.25, 0.0, 0.0, 0.25, 0.0], ""text"": [0.1269, 0.0087, 0.0053, 0.5571, 0.2032, 0.0981, 0.0007]}"
"Yeah, sure. Ummhere.",neutral,dia130_utt2.mp4,"{""video"": [0.0882, 0.0, 0.0, 0.2206, 0.1985, 0.4926, 0.0], ""audio"": [0.3333, 0.3333, 0.0, 0.0, 0.0, 0.3333, 0.0], ""text"": [0.0008, 0.0001, 0.0001, 0.8425, 0.1557, 0.0007, 0.0]}"
Great.  You got anything thats not,disgust,dia130_utt3.mp4,"{""video"": [0.0187, 0.0, 0.0, 0.6729, 0.1495, 0.1589, 0.0], ""audio"": [0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0], ""text"": [0.0003, 0.0001, 0.0001, 0.9979, 0.0012, 0.0003, 0.0002]}"
"Nothing, why?",neutral,dia130_utt7.mp4,"{""video"": [0.0606, 0.0, 0.0, 0.5909, 0.0, 0.3485, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0002, 0.0, 0.0001, 0.0102, 0.9891, 0.0003, 0.0001]}"
"Huh, Rach I got to say its gonna take a lot of money for me to go out on a date with a dude.",disgust,dia130_utt9.mp4,"{""video"": [0.1531, 0.0, 0.0102, 0.0612, 0.6633, 0.1122, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0063, 0.0005, 0.0431, 0.6788, 0.2481, 0.0221, 0.001]}"
Im not asking you to go on a,neutral,dia130_utt10.mp4,"{""video"": [0.0156, 0.0, 0.0, 0.0, 0.5469, 0.4375, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.9485, 0.0016, 0.0012, 0.0073, 0.0367, 0.0045, 0.0003]}"
Really? Cause I could kinda use the money.,surprise,dia130_utt11.mp4,"{""video"": [0.0423, 0.0, 0.0, 0.0, 0.0141, 0.9437, 0.0], ""audio"": [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0009, 0.0003, 0.0004, 0.0735, 0.6184, 0.0028, 0.3036]}"
