gem_id,meaning_representation,target,references
viggo-train-0,"inform(name[Dirt: Showdown], release_year[2012], esrb[E 10+ (for Everyone 10 and Older)], genres[driving/racing, sport], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Dirt: Showdown from 2012 is a sport racing game for the PlayStation, Xbox, PC rated E 10+ (for Everyone 10 and Older). It's not available on Steam, Linux, or Mac.","[""Dirt: Showdown from 2012 is a sport racing game for the PlayStation, Xbox, PC rated E 10+ (for Everyone 10 and Older). It's not available on Steam, Linux, or Mac.""]"
viggo-train-1,"inform(name[Dirt: Showdown], release_year[2012], esrb[E 10+ (for Everyone 10 and Older)], genres[driving/racing, sport], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Dirt: Showdown is a sport racing game that was released in 2012. The game is available on PlayStation, Xbox, and PC, and it has an ESRB Rating of E 10+ (for Everyone 10 and Older). However, it is not yet available as a Steam, Linux, or Mac release.","['Dirt: Showdown is a sport racing game that was released in 2012. The game is available on PlayStation, Xbox, and PC, and it has an ESRB Rating of E 10+ (for Everyone 10 and Older). However, it is not yet available as a Steam, Linux, or Mac release.']"
viggo-train-2,"inform(name[Dirt: Showdown], release_year[2012], esrb[E 10+ (for Everyone 10 and Older)], genres[driving/racing, sport], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Dirt: Showdown is a driving/racing sport game released in 2012. It is rated E 10+, and is available on PlayStation, Xbox and PC, but not on Steam, Mac, or Linux.","['Dirt: Showdown is a driving/racing sport game released in 2012. It is rated E 10+, and is available on PlayStation, Xbox and PC, but not on Steam, Mac, or Linux.']"
viggo-train-3,"request(release_year[2014], specifier[terrible])",Were there even any terrible games in 2014?,['Were there even any terrible games in 2014?']
viggo-train-4,"request(release_year[2014], specifier[terrible])",What's the most terrible game that you played in the year 2014?,"[""What's the most terrible game that you played in the year 2014?""]"
viggo-train-5,"request(release_year[2014], specifier[terrible])",What's a truly terrible game released in 2014 that you know of?,"[""What's a truly terrible game released in 2014 that you know of?""]"
viggo-train-6,"give_opinion(name[Little Nightmares], rating[good], genres[adventure, platformer, puzzle], player_perspective[side view])","Adventure games that combine platforming and puzzles can be frustrating to play, but the side view perspective is perfect for them. That's why I enjoyed playing Little Nightmares.","[""Adventure games that combine platforming and puzzles can be frustrating to play, but the side view perspective is perfect for them. That's why I enjoyed playing Little Nightmares.""]"
viggo-train-7,"give_opinion(name[Little Nightmares], rating[good], genres[adventure, platformer, puzzle], player_perspective[side view])",Little Nightmares is a pretty cool game that has kept me entertained. It's an adventure side-scrolling platformer with some puzzle elements to give me a bit of a challenge.,"[""Little Nightmares is a pretty cool game that has kept me entertained. It's an adventure side-scrolling platformer with some puzzle elements to give me a bit of a challenge.""]"
viggo-train-8,"give_opinion(name[Little Nightmares], rating[good], genres[adventure, platformer, puzzle], player_perspective[side view])","Little Nightmares is a good little adventure platforming puzzle game, I particularly enjoy what they did with the side view too.","['Little Nightmares is a good little adventure platforming puzzle game, I particularly enjoy what they did with the side view too.']"
viggo-train-9,"inform(name[Super Bomberman], release_year[1993], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Super Bomberman is an action and strategy game from 1993 for Nintendo consoles and PC only. It's an older console game that is, unfortunately, not available to play on Steam and does not offer support for Mac or Linux.","[""Super Bomberman is an action and strategy game from 1993 for Nintendo consoles and PC only. It's an older console game that is, unfortunately, not available to play on Steam and does not offer support for Mac or Linux.""]"
viggo-train-10,"inform(name[Super Bomberman], release_year[1993], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Super Bomberman is an action strategy game that came out in 1993 for Nintendo and PC only. This title is not available on either Steam, Linux, or Mac.","['Super Bomberman is an action strategy game that came out in 1993 for Nintendo and PC only. This title is not available on either Steam, Linux, or Mac.']"
viggo-train-11,"inform(name[Super Bomberman], release_year[1993], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Super Bomberman was released in 1993 on Nintendo and PC only. It is not available on Steam, Linux or Mac. It is an action strategy game.","['Super Bomberman was released in 1993 on Nintendo and PC only. It is not available on Steam, Linux or Mac. It is an action strategy game.']"
