npc_id,intent_id,example_number,split,utterance,review_status,seed_terms
ash,rumor,1,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,2,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,3,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,4,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,5,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,6,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,7,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,8,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,9,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,10,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,11,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,12,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,13,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,14,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,15,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,16,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,17,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,18,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,19,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,20,train,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,21,validation,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,22,validation,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,23,validation,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,24,validation,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,25,validation,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,26,test,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,27,test,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,28,test,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,29,test,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,rumor,30,test,,pending,rumor | news | hear | whisper | gossip | word | going on | happening | talk
ash,castle_ruins,1,train,,pending,castle | ruin | vault | tunnel | underground | beneath | old fortress | chapel
ash,castle_ruins,2,train,,pending,castle | ruin | vault | tunnel | underground | beneath | old fortress | chapel
ash,castle_ruins,3,train,,pending,castle | ruin | vault | tunnel | underground | beneath | old fortress | chapel
ash,castle_ruins,4,train,,pending,castle | ruin | vault | tunnel | underground | beneath | old fortress | chapel
ash,castle_ruins,5,train,,pending,castle | ruin | vault | tunnel | underground | beneath | old fortress | chapel
ash,castle_ruins,6,train,,pending,castle | ruin | vault | tunnel | underground | beneath | old fortress | chapel
