gem_id,meaning_representation,target,references
viggo-challenge_train_2_percent-0,"confirm(name[Superhot], player_perspective[first person], has_multiplayer[no])","Oh, Superhot, the single-player first person game?","['Oh, Superhot, the single-player first person game?']"
viggo-challenge_train_2_percent-1,"confirm(name[The Room], genres[indie, point-and-click, puzzle])","Are you talking about the indie point-and-click puzzle game, The Room?","['Are you talking about the indie point-and-click puzzle game, The Room?']"
viggo-challenge_train_2_percent-2,"confirm(name[Horizon: Zero Dawn], release_year[2017])","Are you talking about Horizon: Zero Dawn, the game that came out in 2017?","['Are you talking about Horizon: Zero Dawn, the game that came out in 2017?']"
viggo-challenge_train_2_percent-3,"confirm(name[NBA 2K19], exp_release_date[September 11, 2018])","Hey, is the NBA 2K19 you mentioned the one that's supposed to come out on September 11, 2018?","[""Hey, is the NBA 2K19 you mentioned the one that's supposed to come out on September 11, 2018?""]"
viggo-challenge_train_2_percent-4,"confirm(name[Superhot], player_perspective[first person], has_multiplayer[no])","Is the game you are talking about Superhot, the single-player game played from the first person perspective?","['Is the game you are talking about Superhot, the single-player game played from the first person perspective?']"
viggo-challenge_train_2_percent-5,"confirm(name[FIFA 12], developer[EA Canada], genres[simulation, sport])",Oh! So you're referring to the FIFA 12 sports simulation game from EA Canada?,"[""Oh! So you're referring to the FIFA 12 sports simulation game from EA Canada?""]"
viggo-challenge_train_2_percent-6,"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], genres[action-adventure, puzzle, shooter])","Lara Croft and the Temple of Osiris was an okay game I guess. I think that I'm just a bit burnt out on action-adventure puzzle shooters, but I don't find them terrible at least.","[""Lara Croft and the Temple of Osiris was an okay game I guess. I think that I'm just a bit burnt out on action-adventure puzzle shooters, but I don't find them terrible at least.""]"
viggo-challenge_train_2_percent-7,"give_opinion(name[Portal 2], rating[excellent], has_multiplayer[yes], platforms[PlayStation])","Listen well, friend, Portal 2 is one of the greatest games of all time. It got a full-fleged release on PlayStation and comes with an amazingly perfect multiplayer mode.","['Listen well, friend, Portal 2 is one of the greatest games of all time. It got a full-fleged release on PlayStation and comes with an amazingly perfect multiplayer mode.']"
viggo-challenge_train_2_percent-8,"give_opinion(name[World of Warcraft], rating[good], platforms[PC])","World of Warcraft is a good game, especially because it's on my favorite platform, PC.","[""World of Warcraft is a good game, especially because it's on my favorite platform, PC.""]"
viggo-challenge_train_2_percent-9,"give_opinion(name[Madden NFL 15], developer[EA Tiburon], rating[average])",Madden NFL 15 is an overall average game plopped out by EA Tiburon,['Madden NFL 15 is an overall average game plopped out by EA Tiburon']
viggo-challenge_train_2_percent-10,"give_opinion(name[Need for Speed: Shift], developer[Slightly Mad Studios], rating[average], genres[driving/racing, simulation])","Need for Speed: Shift was a decent driving simulator. Slightly Mad Studios did decently overall, but nothing amazing came from it.","['Need for Speed: Shift was a decent driving simulator. Slightly Mad Studios did decently overall, but nothing amazing came from it.']"
viggo-challenge_train_2_percent-11,"give_opinion(name[Little Nightmares], developer[Tarsier Studios], rating[good], genres[adventure, platformer, puzzle])","Little Nightmares was a pretty fun game to play. I tend to like games made by Tarsier Studios, plus adventure puzzle platformers are right up my alley.","['Little Nightmares was a pretty fun game to play. I tend to like games made by Tarsier Studios, plus adventure puzzle platformers are right up my alley.']"
viggo-challenge_train_2_percent-12,"give_opinion(name[The Room], developer[Fireproof Games], rating[excellent], has_linux_release[yes])",The Room is a fantastic game. Props to Fireproof Games for porting it to Linux too.,['The Room is a fantastic game. Props to Fireproof Games for porting it to Linux too.']
viggo-challenge_train_2_percent-13,"give_opinion(name[Quantum Break], release_year[2016], rating[average])","Oh man, Quantum Break could have been so much better for a 2016 game, but instead it ended up being no more than a forgettable one like most of them.","['Oh man, Quantum Break could have been so much better for a 2016 game, but instead it ended up being no more than a forgettable one like most of them.']"
viggo-challenge_train_2_percent-14,"give_opinion(name[Stronghold 2], rating[average], platforms[PC], has_linux_release[no])","I thought that Stronghold 2 was okay because it was released for PC, but I wish they had released a Linux version.","['I thought that Stronghold 2 was okay because it was released for PC, but I wish they had released a Linux version.']"
